RefSeq_Gene Symbol	chr1	start	stop	strand	diff_exp
AF064749_Col6a3	chr1	92566771	92800755	-	1
AK015559_4930472D16Rik	chr1	25020851	25021989	-	1
AK030377_A330023F24Rik	chr1	196781953	196826186	-	1
AK080193_A530079E22Rik	chr1	89401837	89403491	-	1
AK082264_C230030N03Rik	chr1	34735043	34781084	+	1
BC006931_AI597479	chr1	43153807	43172843	+	1
BC021773_Glb1l	chr1	75193364	75207353	-	1
BC023951_D1Ertd622e	chr1	99540054	99558631	-	1
BC028767_3110009E18Rik	chr1	122017764	122114603	+	1
BC031781_BC031781	chr1	182781250	182798240	+	1
BC034187_BC035947	chr1	78493611	78497758	-	1
BC043098_Fam168b	chr1	34870072	34917183	-	1
BC049091_D1Bwg0212e	chr1	39592545	39603734	+	1
BC049713_Ankrd45	chr1	163072817	163099826	+	1
BC050813_4921511C04Rik	chr1	37157481	37244861	+	1
BC051128_4921521F21Rik	chr1	65059273	65079312	-	1
BC052693_2810422O20Rik	chr1	165924541	165927371	+	1
BC052931_A630001G21Rik	chr1	87601462	87674840	-	1
BC053100_5730559C18Rik	chr1	138110108	138130841	-	1
BC054802_9630058J23Rik	chr1	181476521	181558044	+	1
BC055845_2810025M15Rik	chr1	159342483	159350353	+	1
BC055955_A130010J15Rik	chr1	194999663	195004015	+	1
BC057872_Rab3gap2	chr1	187028006	187110623	+	1
BC058417_2610017I09Rik	chr1	42648822	42751667	-	1
BC059254_Phlpp	chr1	108042052	108306367	+	1
BC070435_Fam123c	chr1	34620070	34671545	+	1
BC070446_Fam135a	chr1	24017617	24107170	-	1
BC071241_9430016H08Rik	chr1	57463192	57497936	+	1
BC072639_2010300C02Rik	chr1	37646877	37776659	-	1
BC080290_5033414K04Rik	chr1	84032539	84360735	-	0
BC082310_9430031J16Rik	chr1	81073525	81338329	+	0
BC089525_2310007B03Rik	chr1	95047933	95063386	-	0
BC089561_Cep350	chr1	157692096	157820375	-	0
BC147491_A230074B11Rik	chr1	37083441	37133840	+	0
BC147657_9630028B13Rik	chr1	187253234	187265698	-	0
ENSMUST00000027997_Rgs5	chr1	171625108	171625913	+	0
ENSMUST00000051203_1700001G17Rik	chr1	33726669	33727551	+	0
ENSMUST00000054333_A130050O07Rik	chr1	139823828	139826840	+	0
ENSMUST00000056879_C230029F24Rik	chr1	49301475	49397265	+	0
ENSMUST00000057543_A730013G03Rik	chr1	194659323	194661397	-	0
ENSMUST00000062637_4930470H14Rik	chr1	175156866	175201240	+	0
ENSMUST00000070048_ENSMUSG00000056128	chr1	92571736	92576368	+	0
ENSMUST00000070987_EG433384	chr1	183781705	183783320	-	0
ENSMUST00000072395_Olfr1406	chr1	175113651	175120746	-	0
ENSMUST00000094288_Wdr64	chr1	177654798	177798070	+	0
ENSMUST00000094950_Pgap1	chr1	54529849	54614539	-	0
ENSMUST00000097776_Cnnm3	chr1	36567938	36585164	+	0
EU429481_Igfn1	chr1	137825893	137890307	-	0
FJ024495_Ildr2	chr1	168236882	168239692	-	0
FJ210934_Unc80	chr1	66514856	66556109	+	0
NM_001001565_Chpf	chr1	75470923	75476437	-	0
NM_001001809_Olfr218	chr1	175130421	175134469	+	0
NM_001001883_Hecw2	chr1	53867026	54252002	-	0
NM_001003917_Atg9a	chr1	75177439	75189181	-	0
NM_001004173_Sgpp2	chr1	78306692	78416864	+	0
NM_001005423_Mreg	chr1	72170192	72258895	-	0
NM_001005507_Smg7	chr1	154684125	154750410	-	0
NM_001005508_Arhgap30	chr1	173319072	173340822	+	0
NM_001005520_Olfr244	chr1	176032571	176067605	-	0
NM_001008419_Aox3l1	chr1	58335180	58437083	+	0
NM_001008426_EG433365	chr1	155721475	155724001	+	0
NM_001008533_Adora1	chr1	136095799	136181661	-	0
NM_001009940_Il19	chr1	132786042	132915234	-	0
NM_001011525_Olfr1415	chr1	94376258	94381054	-	0
NM_001011525_Olfr1415	chr1	94407669	94418761	-	0
NM_001011684_Nms	chr1	38995917	39007113	+	0
NM_001011873_Xkr9	chr1	13658862	13691794	+	0
NM_001011874_Xkr4	chr1	3203722	3713108	-	0
NM_001012330_Zfp238	chr1	179359958	179380892	+	0
NM_001013374_Lman2l	chr1	36362897	36502078	-	0
NM_001013382_Lrrc52	chr1	169375806	169397136	-	0
NM_001013771_Gm973	chr1	59573136	59693241	+	0
NM_001013779_Aim2	chr1	175385835	175396165	+	0
NM_001014974_Ttll4	chr1	74708314	74748400	+	0
NM_001024721_BC094916	chr1	175451304	175466101	-	0
NM_001024945_Qsox1	chr1	157625296	157670499	-	0
NM_001025156_Ccdc93	chr1	123208865	123403037	+	0
NM_001025565_Lhx9	chr1	140694768	140740509	-	0
NM_001025602_Il1rl1	chr1	40462708	40522260	+	0
NM_001029984_Fcrlb	chr1	172836813	172843072	-	0
NM_001037170_Tomm40l	chr1	173147934	173152645	-	0
NM_001037725_Fam117b	chr1	59937517	60042190	+	0
NM_001037918_Lipt1	chr1	37928603	37934232	+	0
NM_001037999_Dbi	chr1	122009883	122046068	-	0
NM_001038592_Glrx2	chr1	145585774	145608282	+	0
NM_001038619_Dnm3	chr1	163902671	164408155	-	0
NM_001039126_Asb1	chr1	93437143	93461729	+	0
NM_001039472_Kif21b	chr1	138027986	138074578	+	0
NM_001039475_Slco6b1	chr1	98802763	98894139	-	0
NM_001039482_Klhl20	chr1	163018528	163061699	-	0
NM_001039483_Tmco1	chr1	169238419	169279112	+	0
NM_001039484_Kcnj10	chr1	174258852	174304216	+	0
NM_001039493_Plekhm3	chr1	64832557	65032270	-	0
NM_001039495_Ccdc108	chr1	74947239	74982168	-	0
NM_001039509_Pnkd	chr1	74331504	74400245	+	0
NM_001039710_Coq10b	chr1	55101051	55129538	+	0
NM_001039934_Mtap2	chr1	66187374	66489157	+	0
NM_001042634_Clk1	chr1	58467034	58480936	-	0
NM_001045481_Ifi203	chr1	175804708	175928457	-	0
NM_001077189_Fcgr2b	chr1	172890316	172916060	-	0
NM_001077353_Gsta3	chr1	21230690	21255722	+	0
NM_001077403_Nrp2	chr1	62724499	63100251	+	0
NM_001081023_Cacna1s	chr1	137949297	138016348	+	0
NM_001081078_Lct	chr1	130174327	130224881	-	0
NM_001081079_Ogfrl1	chr1	23278472	23451348	-	0
NM_001081259_Mfsd7b	chr1	192825304	192850534	-	0
NM_001081275_1700009P17Rik	chr1	173032694	173057075	+	0
NM_001081361_Mosc1	chr1	186610666	186635172	-	0
NM_001081756_E030049G20Rik	chr1	128277776	128727190	-	0
NM_001082573_Crygc	chr1	65118108	65146863	-	0
NM_001083897_Mpzl1	chr1	167522314	167564669	-	0
NM_001085409_Steap3	chr1	122037552	122169282	-	0
NM_001099637_Cep170	chr1	178663793	178744307	-	0
NM_001103182_Lin9	chr1	182572002	182620816	+	0
NM_001105667_Dtymk	chr1	95689006	95698492	-	0
NM_001110783_Ank1	chr1	77759424	77766452	-	0
NM_001110831_Dnpep	chr1	75304471	75314673	-	0
NM_001111059_Cd34	chr1	196683888	196826273	+	0
NM_001111279_Wdfy1	chr1	79689958	79772698	-	0
NM_001111314_Ngef	chr1	89373415	89470499	-	0
NM_001111316_Ptprc	chr1	139959456	140088994	-	0
NM_001111320_Idh1	chr1	65185668	65233033	-	0
NM_001113394_Cd247	chr1	167711216	167807397	+	0
NM_001122685_Rhbdd1	chr1	82313047	82441937	+	0
NM_001126046_Fam178b	chr1	36619544	36740008	-	0
NM_001128605_Psen2	chr1	182157140	182247499	-	0
NM_001128609_Dedd	chr1	173258959	173273620	+	0
NM_001130174_Tnnt2	chr1	137732931	137748838	+	0
NM_001134829_Lpgat1	chr1	193521144	193605705	+	0
NM_001136070_Lgtn	chr1	133049773	133084235	+	0
NM_001142647_Tmem194b	chr1	52687569	52708760	+	0
NM_001159649_Lax1	chr1	135575626	135586665	-	0
NM_001159719_Sept2	chr1	95375046	95406820	+	0
NM_001159730_Pdc	chr1	152154402	152181077	+	0
NM_007381_Acadl	chr1	66861363	66909886	-	0
NM_007415_Parp1	chr1	182499033	182531385	+	0
NM_007422_Adss	chr1	179693113	179888685	-	0
NM_007432_Akp3	chr1	89021583	89042994	+	0
NM_007433_Akp5	chr1	88983274	88986861	-	0
NM_007453_Prdx6	chr1	163170243	163210238	-	0
NM_007463_Speg	chr1	75371872	75428879	+	0
NM_007495_Astn1	chr1	160292424	160626748	+	0
NM_007498_Atf3	chr1	192994178	193057173	-	0
NM_007525_Bard1	chr1	71076934	71149526	-	0
NM_007561_Bmpr2	chr1	59820296	59927706	+	0
NM_007570_Btg2	chr1	135971251	135991759	-	0
NM_007576_C4bp	chr1	132531357	132558199	-	0
NM_007642_Cd28	chr1	60763315	60830749	+	0
NM_007649_Cd48	chr1	173603288	173635385	+	0
NM_007685_Cfc1	chr1	34592493	34601156	+	0
NM_007695_Chi3l1	chr1	136069840	136086738	+	0
NM_007722_Cxcr7	chr1	92100063	92112863	+	0
NM_007733_Col19a1	chr1	24258667	24602262	-	0
NM_007734_Col4a3	chr1	82583506	82718629	+	0
NM_007735_Col4a4	chr1	82438140	82584744	-	0
NM_007737_Col5a2	chr1	45431177	45560226	-	0
NM_007740_Col9a1	chr1	24164692	24268636	+	0
NM_007758_Cr2	chr1	196963005	197003002	-	0
NM_007768_Crp	chr1	174620782	174763152	+	0
NM_007774_Cryga	chr1	65146986	65150012	-	0
NM_007776_Crygd	chr1	65108417	65110024	-	0
NM_007777_Cryge	chr1	65095133	65097767	-	0
NM_007791_Csrp1	chr1	137526251	137648807	+	0
NM_007799_Ctse	chr1	133534879	133572077	+	0
NM_007827_Daf2	chr1	132285116	132319576	-	0
NM_007842_Dhx9	chr1	155302618	155334755	-	0
NM_007853_Degs1	chr1	184205901	184212915	-	0
NM_007921_Elf3	chr1	137149649	137155139	-	0
NM_007923_Elk4	chr1	133904204	133929189	+	0
NM_007936_Epha4	chr1	77280640	77511653	-	0
NM_007955_Ptprv	chr1	137004306	137029151	-	0
NM_007976_F5	chr1	166081877	166150388	+	0
NM_008030_Fmo3	chr1	164883934	164914811	-	0
NM_008057_Fzd7	chr1	59538966	59546428	+	0
NM_008059_G0s2	chr1	195098362	195108977	-	0
NM_008131_Glul	chr1	155746721	155757023	+	0
NM_008132_Glrp1	chr1	90396446	90406631	-	0
NM_008209_Mr1	chr1	156951231	157006024	-	0
NM_008210_H3f3a	chr1	182694052	182744054	-	0
NM_008250_Hlx	chr1	186542564	186592227	-	0
NM_008288_Hsd11b1	chr1	195047814	195090228	-	0
NM_008299_Dnajb3	chr1	90101307	90102337	-	0
NM_008311_Htr2b	chr1	87995611	88008576	-	0
NM_008327_Ifi202b	chr1	175892699	175912872	-	0
NM_008329_Ifi204	chr1	175677424	175929523	-	0
NM_008342_Igfbp2	chr1	72840313	72899038	+	0
NM_008362_Il1r1	chr1	40274145	40373439	+	0
NM_008365_Il18r1	chr1	40522407	40557703	+	0
NM_008384_Inpp1	chr1	52826936	52890006	-	0
NM_008429_Kcnj9	chr1	174250632	174259434	-	0
NM_008440_Kif1a	chr1	94912041	94998420	-	0
NM_008484_Lamb3	chr1	195033913	195170047	+	0
NM_008485_Lamc2	chr1	154969890	155033557	-	0
NM_008510_Xcl1	chr1	166861801	166916999	-	0
NM_008515_Lrrfip1	chr1	92895314	93025509	+	0
NM_008534_Ly9	chr1	173518153	173537531	-	0
NM_008551_Mapkapk2	chr1	132950274	133013820	-	0
NM_008563_Mcm3	chr1	20792654	20810343	-	0
NM_008567_Mcm6	chr1	130228167	130256262	-	0
NM_008575_Mdm4	chr1	134877138	134927144	-	0
NM_008623_Mpz	chr1	173081953	173091254	+	0
NM_008651_Mybl1	chr1	9635825	9690280	-	0
NM_008667_Nab1	chr1	52487127	52611216	-	0
NM_008678_Ncoa2	chr1	13129206	13399268	-	0
NM_008696_Map4k4	chr1	39958025	40102235	+	0
NM_008719_Npas2	chr1	39250631	39420071	+	0
NM_008763_Olfr16	chr1	174886928	174887857	+	0
NM_008765_Orc2l	chr1	58519275	58561933	-	0
NM_008781_Pax3	chr1	78047196	78193701	-	0
NM_008795_Pctk3	chr1	133972174	134036519	-	0
NM_008798_Pdcd1	chr1	95931620	95977526	-	0
NM_008801_Pde6d	chr1	88427331	88479102	-	0
NM_008825_Pfkfb2	chr1	132566787	132625820	-	0
NM_008866_Lypla1	chr1	4797815	4844373	+	0
NM_008869_Pla2g4a	chr1	151661289	151808414	-	0
NM_008882_Plxna2	chr1	196411150	196654445	+	0
NM_008900_Pou3f3	chr1	42662066	42757055	+	0
NM_008911_Ppox	chr1	173200042	173211335	-	0
NM_008922_Prim2	chr1	33510658	33727287	-	0
NM_008937_Prox1	chr1	191943166	191999411	-	0
NM_008976_Ptpn14	chr1	191512039	191694746	+	0
NM_008985_Ptprn	chr1	75243625	75261057	-	0
NM_008998_Rab17	chr1	92842177	92905581	-	0
NM_008999_Rab23	chr1	33776747	33799402	+	0
NM_009049_Resp18	chr1	75268774	75274970	-	0
NM_009061_Rgs2	chr1	145846468	145858945	-	0
NM_009062_Rgs4	chr1	171671620	171743114	-	0
NM_009063_Rgs5	chr1	171585632	171625107	+	0
NM_009107_Rxrg	chr1	169399669	169569753	+	0
NM_009118_Sag	chr1	89700275	89741733	+	0
NM_009126_Serpinb3a	chr1	108942184	108948902	-	0
NM_009129_Scg2	chr1	79431244	79436675	-	0
NM_009183_St8sia4	chr1	97484259	97672426	-	0
NM_009190_Vps4b	chr1	108665873	108739123	-	0
NM_009208_Slc4a3	chr1	75539833	75564973	+	0
NM_009230_Soat1	chr1	158354679	158417632	-	0
NM_009255_Serpine2	chr1	79778648	79891246	-	0
NM_009257_Serpinb5	chr1	108757652	108779925	+	0
NM_009283_Stat1	chr1	51740305	52218707	+	0
NM_009307_Syt2	chr1	136543209	136659150	+	0
NM_009334_Tcfap2b	chr1	19198995	19228906	+	0
NM_009352_Terf1	chr1	15785995	15845901	+	0
NM_009355_Tesp1	chr1	34554997	34559905	+	0
NM_009356_Tesp2	chr1	34594321	34617749	-	0
NM_009367_Tgfb2	chr1	188337162	188544530	-	0
NM_009399_Tnfrsf11a	chr1	107677300	107859295	+	0
NM_009407_Tnp1	chr1	73061657	73062512	-	0
NM_009418_Tpp2	chr1	43936027	44065003	+	0
NM_009447_Tuba4a	chr1	75210818	75219831	-	0
NM_009452_Tnfsf4	chr1	163212600	163374314	+	0
NM_009460_Sumo1	chr1	59643412	59727658	-	0
NM_009480_Usf1	chr1	173341335	173348954	+	0
NM_009509_Vil1	chr1	74455970	74485488	+	0
NM_009518_Wnt10a	chr1	74838090	74898253	+	0
NM_009526_Wnt6	chr1	74818493	74831875	+	0
NM_009533_Xrcc5	chr1	72354001	72453365	+	0
NM_009539_Zap70	chr1	36818663	36839663	+	0
NM_009579_Slc30a1	chr1	193730666	193737101	+	0
NM_009581_Zp3r	chr1	132473290	132526179	-	0
NM_009604_Chrng	chr1	89102267	89109269	+	0
NM_009676_Aox1	chr1	58086687	58165423	+	0
NM_009721_Atp1b1	chr1	166367243	166524675	-	0
NM_009741_Bcl2	chr1	108362593	108614036	-	0
NM_009782_Cacna1e	chr1	156242220	156916799	-	0
NM_009786_Cacybp	chr1	162132500	162143003	-	0
NM_009791_Aspm	chr1	141351360	141393207	+	0
NM_009794_Capn2	chr1	184394108	184479307	-	0
NM_009803_Nr1i3	chr1	173122612	173149661	+	0
NM_009812_Casp8	chr1	58818409	58904327	+	0
NM_009813_Casq1	chr1	174140028	174150006	-	0
NM_009826_Rb1cc1	chr1	6196277	6266709	+	0
NM_009843_Ctla4	chr1	60943864	61098205	+	0
NM_009872_Cdk5r2	chr1	74901511	74904288	+	0
NM_009909_Il8rb	chr1	74200075	74207820	+	0
NM_009911_Cxcr4	chr1	130436268	130609324	-	0
NM_009918_Cnga3	chr1	37275192	37321882	+	0
NM_009930_Col3a1	chr1	45368295	45413500	+	0
NM_009938_Copa	chr1	174012565	174052450	+	0
NM_010016_Cd55	chr1	132326379	132359520	-	0
NM_010043_Des	chr1	75356887	75365134	+	0
NM_010045_Darc	chr1	175234342	175263520	-	0
NM_010094_Lefty1	chr1	182865132	182868532	+	0
NM_010098_Opn3	chr1	177592560	177622774	-	0
NM_010133_En1	chr1	122494080	122540975	+	0
NM_010135_Enah	chr1	183776371	183949877	-	0
NM_010145_Ephx1	chr1	182919689	182951015	-	0
NM_010164_Eya1	chr1	14117632	14318907	-	0
NM_010177_Fasl	chr1	163710820	163718844	-	0
NM_010184_Fcer1a	chr1	175148098	175157377	-	0
